Year     terrorism     terrorist     ocupation    narcotic    violation   democracy    development
2000         0             0             0            0           0           0             0
2001         0             0             0            0           0           0             0
2002         0             0             0            0           0           0             0
2003         0             0             0            0           0           0             0
2004         0             0             0            0           0           0             0
2005         0             0             0            0           0           0             0
2006         0             0             2            1           0           1             0
2007         0             0             1            1           0           1             4
2008         1             0             2            4           2           4             1
2009         3             0             4            4           3           72            15
2010         8             3             83           5           3           108           22
2011         16            3             14           27          4           109           29
2012         14            6             22           4           7           88            18
2013         43            3             332          6           4           179           85
2014         433           61            211          72          8           395           84
2015         27            27            27           0           0           27            27
